species,filename,mean_R,mean_G,mean_B,mean_brightness,contrast
BabockaAdmiral,BabockaAdmiral_Bechovice_IMG_20200826_230511.jpg,94.7449,101.192955,71.24751,95.85122,53.18298
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163406.jpg,123.917336,93.872574,77.25105,100.96116,45.589115
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163414.jpg,138.247,103.30073,81.94432,111.31502,51.56273
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163422.jpg,149.76593,113.5461,90.08808,121.70162,50.827793
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163519.jpg,96.940254,72.24555,53.866985,77.53403,38.88334
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163535.jpg,82.181015,57.709114,44.942917,63.570904,35.93456
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163537.jpg,82.806946,58.097874,45.18551,64.01393,35.68817
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163605.jpg,86.20334,63.80881,51.135628,69.05999,37.840195
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163611.jpg,134.06305,106.81367,89.78086,113.019356,47.255733
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163614.jpg,134.53712,107.41925,90.14569,113.55827,47.16652
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163951.jpg,70.61599,86.96174,31.363573,75.736206,35.669903
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163958.jpg,64.84537,74.1212,27.835331,66.07109,36.309994
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_163959.jpg,65.44133,75.22777,28.297401,66.95155,36.16007
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164012.jpg,51.497185,58.993847,21.815989,52.51402,31.839676
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164013.jpg,51.901863,58.404205,22.040155,52.314465,32.619408
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164045.jpg,55.74541,66.38008,21.277388,58.058617,28.859055
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164058.jpg,55.592552,63.1765,21.742645,56.185394,30.051754
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164059.jpg,56.035976,63.83389,21.830584,56.713993,29.895977
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164122.jpg,55.169613,69.02382,20.183725,59.313644,27.165056
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164141.jpg,51.54879,62.80806,19.246664,54.475483,27.593899
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164150.jpg,87.12091,90.716896,51.74856,85.199265,43.095768
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164209.jpg,99.01494,102.40272,65.81752,97.2189,53.393238
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170820_164211.jpg,91.45834,95.06367,55.61725,89.48881,46.082836
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170827_181920.jpg,84.27516,57.79654,20.148615,61.42182,34.15964
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170827_181921.jpg,84.07496,57.416992,19.61452,61.07826,34.157772
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170827_181922.jpg,84.95377,58.106323,20.151936,61.806892,34.317444
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170827_183042.jpg,133.92079,115.740654,30.387161,111.44633,54.832127
BabockaAdmiral,BabockaAdmiral_Kolovraty_20170827_183043.jpg,139.17671,121.52262,30.838196,116.4632,54.563553
BabockaAdmiral,BabockaAdmiral_Kolovraty_20200719_141637.jpg,112.45469,135.03926,65.30587,120.336876,44.99961
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141504.jpg,110.78236,127.15963,69.134,115.64788,61.059723
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141505.jpg,111.09594,130.95671,67.28676,117.76002,59.615
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141624.jpg,98.18442,121.93948,55.41426,107.25283,44.756268
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141624_1.jpg,98.17771,121.60117,55.35028,107.04489,44.436165
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141627.jpg,117.92553,142.8518,68.16176,126.88427,45.597027
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141628.jpg,119.27525,144.47868,69.05646,128.34473,44.976067
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141633.jpg,115.67747,141.41174,67.13096,125.24932,43.925594
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141634.jpg,116.39753,142.00987,67.49942,125.85769,44.796356
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141635.jpg,115.43689,142.9879,66.74346,126.05842,44.617558
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141636.jpg,116.04337,142.0967,67.06505,125.75318,44.73008
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200719_141638.jpg,112.91868,137.38806,65.17805,121.83985,44.22996
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085000.jpg,157.67583,141.01859,120.99495,143.7165,69.08398
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085009.jpg,165.4889,147.47223,130.00246,150.86765,64.4719
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085011.jpg,163.63164,143.95279,126.48985,147.84595,64.077095
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085019.jpg,149.9047,129.8833,113.86187,134.04324,67.05827
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085028.jpg,162.67635,149.92499,133.03157,151.81189,76.07159
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085031.jpg,164.33601,151.91718,131.77763,153.33446,76.06457
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085035.jpg,156.95499,144.38261,125.2426,145.95981,75.11793
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085053.jpg,94.43244,79.244026,58.017826,81.36558,69.48127
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085109.jpg,171.96863,153.28574,125.34654,155.68687,68.76525
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085113.jpg,157.87677,140.52351,113.71277,142.65543,70.13416
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085137.jpg,161.03235,142.67175,119.882065,145.56363,70.467834
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085159.jpg,175.42084,153.69104,125.71359,156.9989,65.08062
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085203.jpg,175.68793,153.85121,125.382835,157.13509,65.43129
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085207.jpg,177.03107,156.73871,133.86874,160.19885,67.92389
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085239.jpg,162.24255,148.67537,136.55843,151.35027,67.56196
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085240.jpg,166.89212,153.41975,142.19543,156.16826,64.15666
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085244.jpg,151.27855,134.01877,117.23704,137.26654,68.82167
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085245.jpg,152.0687,135.21053,118.556595,138.3523,68.702194
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085245_1.jpg,153.68384,138.0379,121.49584,140.83046,67.38085
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085246.jpg,149.81439,132.93066,117.203255,136.1858,68.78981
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085247.jpg,161.25414,148.3529,134.96417,150.68437,68.14034
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085250.jpg,166.87093,151.95113,138.75584,154.90756,68.32275
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085253.jpg,166.00462,150.90646,138.19217,153.97127,68.2217
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085254.jpg,169.90419,155.83485,144.91298,158.79645,69.413536
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085259.jpg,165.76,147.44276,124.68883,150.32568,72.77472
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085300.jpg,179.50856,163.46196,140.72992,165.66823,68.623405
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085307.jpg,154.33737,132.36452,104.96147,135.8103,66.77565
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085311.jpg,165.83658,147.50931,119.87321,149.83861,55.402584
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085406.jpg,180.06708,164.79834,144.89665,167.09485,67.10407
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085410.jpg,181.76025,164.7129,142.55663,167.28435,66.89372
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085412.jpg,168.24055,151.41933,128.77069,153.86707,63.362373
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085414.jpg,169.00798,152.0333,129.76826,154.57037,63.07299
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085418.jpg,185.53323,168.8141,147.07379,171.33461,65.01006
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085420.jpg,177.10321,160.44957,138.79605,162.96046,67.09805
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085512.jpg,169.77696,154.12639,132.6676,156.35956,65.97947
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085515.jpg,172.26897,156.00743,134.03827,158.36519,64.966736
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085517.jpg,157.67793,141.34856,118.8473,143.66592,62.92971
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085519.jpg,164.18764,146.42009,123.055244,149.06886,64.09631
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085522.jpg,174.08675,155.63986,131.70366,158.42693,65.07893
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085523.jpg,161.42514,143.24388,119.489006,145.97206,64.44806
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085525.jpg,167.25249,149.06038,125.42909,151.80586,64.95315
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085530.jpg,170.4231,155.5089,130.90651,157.16348,65.38077
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085533.jpg,145.60817,131.0402,106.917755,132.6463,63.99044
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085559.jpg,177.3288,162.7581,140.71675,164.6017,63.573803
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085625.jpg,175.13577,158.86475,138.26993,161.38177,43.38508
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085632.jpg,158.9727,145.36859,128.29204,147.4896,77.496506
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085635.jpg,140.32222,131.9767,108.009415,131.73984,71.42094
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085641.jpg,186.7652,176.93555,167.19804,178.76457,52.286037
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085651.jpg,187.47745,174.14525,159.84154,176.50133,60.433693
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085654.jpg,182.42366,173.53807,161.212,174.78987,62.92175
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085700.jpg,186.85423,180.10872,171.0367,181.09122,66.62401
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085710.jpg,172.54721,155.35948,128.24257,157.40724,55.64638
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085714.jpg,177.47787,160.41736,133.33289,162.43062,59.04221
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085716.jpg,181.08713,164.05537,136.71027,166.03055,58.39606
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085717.jpg,181.03023,163.33723,136.13864,165.52669,59.393337
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085725.jpg,181.28235,164.71062,137.73758,166.59074,53.54195
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085732.jpg,167.5342,151.61021,125.098465,153.34897,67.08325
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085737.jpg,171.26396,152.4957,123.899414,154.84749,53.39414
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085741.jpg,182.76942,166.62338,139.07239,168.31029,56.64593
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085743.jpg,177.85574,160.65302,133.57365,162.70937,56.246323
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085746.jpg,177.93927,160.51141,133.51411,162.64462,57.131615
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085748.jpg,185.49493,169.01517,142.14232,170.87912,58.620426
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085758.jpg,152.57188,135.9615,113.0154,138.31213,72.53099
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085806.jpg,161.31917,142.67041,119.38699,145.59232,72.33628
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085809.jpg,170.95035,154.75594,133.02002,157.12039,74.73698
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085826.jpg,180.0207,158.37645,137.35922,162.45215,51.476204
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085836.jpg,187.89745,158.44643,128.1786,163.80188,42.746765
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085839.jpg,194.03372,166.30205,136.7506,171.22517,38.1363
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085840.jpg,189.32762,162.68779,134.93591,167.48956,46.66918
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085847.jpg,197.465,170.83406,142.10277,175.5214,48.297268
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085852.jpg,193.96272,164.4993,134.01926,169.83394,41.519875
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085906.jpg,192.18369,175.29144,150.18423,177.47975,65.211266
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085910.jpg,184.26282,169.61893,147.53783,171.47986,71.35298
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085928.jpg,189.12366,173.55962,149.5944,175.48096,72.81635
